Pathways	Genes of pathway
superpathway of fatty acid biosynthesis I (E. coli)	fabD // accD // accA // fabH // fabA // fabZ // fabG // fabB // fabF // fabI // acpP
superpathway of pyrimidine ribonucleosides salvage	rihC // rihA // rihB // cdd // udk // upp // pyrH // pyrG // cmk // ndk // adk
fatty acid biosynthesis initiation III	fabF // fabB // acpP
palmitate biosynthesis II (type II fatty acid synthase)	fabF // fabB // fabG // fabZ // fabI // acpP
superpathway of <i>N</i>-acetylglucosamine, <i>N</i>-acetylmannosamine and <i>N</i>-acetylneuraminate degradation	nagB // nagA // nanE // nanK // nanM // nanQ // nanA
guanosine ribonucleotides <i>de novo</i> biosynthesis	guaB // guaA // gmk // ndk // adk
monocistronic leuX tRNA processing	rnb // rnpA // rnpB // rbn // rnd // rnt // rph // pnp
L-glutamine biosynthesis I	glnA
pentose phosphate pathway	talB // talA // tktA // tktB // rpe // rpiB // rpiA // pgl // zwf // gnd
superpathway of glycol metabolism and degradation	gcl // garK // glxK // glcB // glcF // glcE // glcD // aldA // fucO
heme <i>b</i> biosynthesis V (aerobic)	hemE // hemH // hemF // hemG
acetate and ATP formation from acetyl-CoA I	ackA // pta // eutD
GlrKR Two-Component Signal Transduction System	glrR // glrK
<i>bis</i>(guanylyl molybdopterin) cofactor sulfurylation	fdhD // iscS
lipoate biosynthesis and incorporation I	lipA // lipB // fdx // acpP
L-arginine degradation II (AST pathway)	astA // astB // astC // astD // astE
pyrimidine ribonucleosides salvage I	cdd // udk
formate to trimethylamine <i>N</i>-oxide electron transfer	fdnG // fdnH // fdnI // fdoI // fdoH // fdoG // torA // torC
2-carboxy-1,4-naphthoquinol biosynthesis	menE // menC // menF // menD // menH // menB // menI
palmitoleate biosynthesis I (from (5Z)-dodec-5-enoate)	fabF // fabI // fabZ // fabA // fabG // fabB // tesA // acpP
AtoSC Two-Component Signal Transduction System	atoC // atoS
allantoin degradation IV (anaerobic)	allB // allC // allE // allW // fdrA // allD // carA // carB // ybcF
glycerol degradation V	gldA // dhaM // dhaL // dhaK
tRNA charging	argS // cysS // glnS // gltX // ileS // leuS // valS // alaS // asnS // aspS // tyrS // trpS // thrS // serS // proS // pheT // pheS // lysU // lysS // hisS // glyQ // glyS // metG // argW // argX // argU // argY // argV // argQ // argZ // cysT // glnW // glnU // glnV // glnX // gltV // gltW // gltT // gltU // ileX // ileY // ileT // ileU // ileV // leuP // leuW // leuU // leuV // leuQ // leuT // leuZ // leuX // valZ // valX // valV // valT // valY // valW // valU // alaW // alaU // alaT // alaV // alaX // asnW // asnT // asnV // asnU // aspV // aspT // aspU // tyrV // tyrT // tyrU // trpT // thrW // thrU // thrT // thrV // selC // serW // serT // serV // serX // serU // proM // proL // proK // pheU // pheV // metU // metT // lysT // lysV // lysZ // lysQ // lysW // lysY // hisR // glyV // glyX // glyW // glyT // glyU // glyY // metY // metZ // metV // metW
UDP-&alpha;-D-glucose biosynthesis	galU // pgm
hydroxymethylpyrimidine salvage	pdxK // thiD
malonyl-CoA biosynthesis via biotin-carboxyl carrier protein	birA // accC // accD // accA
glycerophosphodiester degradation	glpQ // ugpQ // glpD // glpC // glpB // glpA
(5Z)-dodecenoate biosynthesis I	fabI // fabG // fabB // fabZ // fabA // acpP
superpathway of <i>S</i>-adenosyl-L-methionine biosynthesis	metK // metA // metE // metB // metH // metC // malY // lysC // asd // thrA // metL
L-tryptophan degradation II (via pyruvate)	ridA // tnaA
nitrate reduction IX (dissimilatory)	glpC // glpB // glpA // narI // narH // narG // narV // narZ // narY
glycolate and glyoxylate degradation I	gcl // garK // glxK // glcF // glcE // glcD // garR
2-deoxy-&alpha;-D-ribose 1-phosphate degradation	deoB // deoC // eutE // adhE // mhpF
allantoin degradation to glyoxylate III	allA // allB // allC // allE // allW
monocistronic tRNA processing I	rne // rnpA // rnpB
menaquinol-8 biosynthesis	ubiE
superpathway of unsaturated fatty acids biosynthesis (<i>E. coli</i>)	fabA // tesA // fabF // fabB // fabG // fabZ // fabI // acpP
L-glutamate degradation IX (via 4-aminobutanoate)	gadA // gadB
di-<i>trans</i>,poly-<i>cis</i>-undecaprenyl phosphate biosynthesis	ispU // bacA // ybjG // pgpB
glycolysis II (from fructose 6-phosphate)	pykA // pykF // eno // gpmM // pgk // gapA // tpiA // fbaA // fbaB // pfkB // pfkA // ppsA // phoA // yigL // yidA // hxpA // ybiV // fbp // glpX // ybhA // yggF // gpmA
superpathway of L-alanine biosynthesis	ilvE // avtA // iscS // alaA // alaC // thiS
superpathway of hexitol degradation (bacteria)	mtlD // srlD // kbaY // gatY // gatD // gatA // gatB // gatC // pykA // pykF // eno // gpmM // pgk // gapA // tpiA // fbaA // fbaB // pfkB // pfkA // ppsA // phoA // yigL // yidA // hxpA // ybiV // fbp // glpX // ybhA // yggF // gpmA
cardiolipin biosynthesis I	pgpA // pgpB // pgpC // clsA // clsB // pgsA
superpathway of D-glucarate and D-galactarate degradation	gudD // garL // garR // garD // garK // glxK
5-aminoimidazole ribonucleotide biosynthesis I	purF // purD // purN // purL // purM
UDP-&alpha;-D-glucuronate biosynthesis (from UDP-glucose)	ugd
polymyxin resistance	arnA // arnB // arnC // arnD // arnT
superpathway of &beta;-D-glucuronosides degradation	uxuB // uxuA // kdgK // eda // uxaC // uidA
<i>O</i>-antigen building blocks biosynthesis (<i>E. coli</i>)	glf // rfbC // rfbD // rfbA // rffH // rfbB // glmU // glmS // glmM // kduI // pgi
UDP-&alpha;-D-galactose biosynthesis	galE
muropeptide degradation	ldcA // mpaA // ycjG // pepD
superpathway of phospholipid biosynthesis III (<i>E. coli</i>)	clsA // clsB // pssA // psd // gpsA // plsC // cdsA // plsB // pgsA // pgpA // pgpB // pgpC // clsC // acpP
PRPP biosynthesis	prs
BarA UvrY Two-Component Signal Transduction System	uvrY // barA
2,3-dihydroxybenzoate biosynthesis	entC // entB // entA
pyrimidine ribonucleosides degradation	cdd // udp // ppnP // deoB
HprSR Two-Component Signal Transduction System	hprR // hprS
<i>all-trans</i>-octaprenyl diphosphate biosynthesis	ispB
NADH to cytochrome <i>bd</i> oxidase electron transfer I	nuoI // nuoG // nuoF // nuoE // nuoC // nuoB // nuoN // nuoM // nuoL // nuoK // nuoJ // nuoH // nuoA // cydH // cydX // cydB // cydA
L-serine degradation	sdaB // tdcB // sdaA // tdcG // ridA
L-threonine biosynthesis	thrB // thrC
TCA cycle I (prokaryotic)	maeA // mdh // fumC // fumB // fumA // fumD // fumE // sucC // sucD // lpd // sucB // sucA // icd // gltA // acnA // acnB // sdhD // sdhC // sdhB // sdhA // mqo
S-adenosyl-L-methionine biosynthesis	metK
CMP-3-deoxy-D-<I>manno</I>-octulosonate biosynthesis	kdsB // kdsC // kdsA // kdsD // gutQ
superpathway of pyrimidine deoxyribonucleotides <i>de novo</i> biosynthesis (<i>E. coli</i>)	dcd // nrdD // mazG // dut // nudI // thyA // tmk // ndk // adk // nrdF // nrdE // nrdB // nrdA // trxC // trxA // nrdH
glycerol-3-phosphate to fumarate electron transfer	glpC // glpB // glpA // frdD // frdC // frdB // frdA
N<sup>6</sup>-L-threonylcarbamoyladenosine<sup>37</sup>-modified tRNA biosynthesis	tsaD // tsaB // tsaE // tsaC // tcdA
