index	cluster	name	Day	.epred	class	color_epred
747	I	cpdA	1	1.4257790458977748	up	1.4257790458977748
747	I	cpdA	10	3.8441492559719994	up	3.8441492559719994
699	I	yrfG	1	0.7507910002335346	zero	NA
699	I	yrfG	10	1.996585810790464	up	1.996585810790464
340	I	aslA	1	0.4780897497908865	zero	NA
340	I	aslA	10	1.2741157353250625	zero	NA
216	I	argD	1	0.8351233624391683	zero	NA
216	I	argD	10	2.0284605546829533	zero	NA
728	I	nanT	1	0.7898049347171461	zero	NA
728	I	nanT	10	1.9003080646586996	zero	NA
223	I	yfbP	1	0.836245826166366	up	0.836245826166366
223	I	yfbP	10	2.0686120797476777	up	2.0686120797476777
196	I	gntT	1	0.5880557620770858	zero	NA
196	I	gntT	10	1.4861995706317794	zero	NA
914	I	ftsP	1	1.0502690156448082	up	1.0502690156448082
914	I	ftsP	10	2.303755159599144	up	2.303755159599144
961	I	flgJ	1	0.8714820677171563	up	0.8714820677171563
961	I	flgJ	10	1.9970718631199516	zero	NA
441	I	argG	1	0.8305717461804409	up	0.8305717461804409
441	I	argG	10	1.9187754580505287	up	1.9187754580505287
256	I	yidA	1	0.611363218790525	zero	NA
256	I	yidA	10	1.436043443009372	up	1.436043443009372
1210	I	ebgA	1	1.1442743270571916	up	1.1442743270571916
1210	I	ebgA	10	2.331740568927992	zero	NA
1159	I	fklB	1	0.8050134513925377	zero	NA
1159	I	fklB	10	1.6268163108766809	up	1.6268163108766809
537	I	yhgF	1	0.5948131417189345	zero	NA
537	I	yhgF	10	1.2050181453694855	up	1.2050181453694855
531	I	yfeH	1	1.029980171095316	zero	NA
531	I	yfeH	10	2.0620876210283816	zero	NA
426	I	mutS	1	0.963889542041569	zero	NA
426	I	mutS	10	1.9249538716306491	zero	NA
317	I	setC	1	0.6297336287555406	zero	NA
317	I	setC	10	1.2585426736439946	zero	NA
360	I	ybdG	1	0.7375063786764628	up	0.7375063786764628
360	I	ybdG	10	1.4627315627947275	zero	NA
439	I	mngB	1	0.665006028431321	up	0.665006028431321
439	I	mngB	10	1.3155240659264265	zero	NA
80	I	yiiR	1	1.094559012457003	up	1.094559012457003
80	I	yiiR	10	2.250920324925341	zero	NA
461	I	acrB	1	0.5663553400274626	up	0.5663553400274626
461	I	acrB	10	1.1829740540882532	zero	NA
1200	I	paoD	1	1.5692462799353555	zero	NA
1200	I	paoD	10	2.262600235677107	zero	NA
666	I	sgcQ	1	1.0272075259091475	up	1.0272075259091475
666	I	sgcQ	10	1.4668695259478879	zero	NA
877	I	phnK	1	1.0311464869304254	up	1.0311464869304254
877	I	phnK	10	1.4531437378972005	up	1.4531437378972005
809	I	rob	1	0.6772711241169586	up	0.6772711241169586
809	I	rob	10	0.9602639302590765	up	0.9602639302590765
290	I	lysU	1	0.5629328191712398	up	0.5629328191712398
290	I	lysU	10	0.7977890320675342	up	0.7977890320675342
553	I	radD	1	1.3742731727669406	up	1.3742731727669406
553	I	radD	10	1.8445570686625963	zero	NA
963	I	yiiQ	1	1.9512741314059132	zero	NA
963	I	yiiQ	10	2.63294035858323	up	2.63294035858323
460	I	yjtD	1	0.8559050247544032	zero	NA
460	I	yjtD	10	1.153787787143241	zero	NA
1265	I	ydfT	1	0.9502122075476179	zero	NA
1265	I	ydfT	10	1.2865731160875342	zero	NA
369	I	gpp	1	0.9230049910711392	up	0.9230049910711392
369	I	gpp	10	1.2793630091151358	zero	NA
407	I	radA	1	0.8569393925630872	zero	NA
407	I	radA	10	1.1931919914859153	zero	NA
1206	I	ppx	1	0.8158190142604876	zero	NA
1206	I	ppx	10	1.1225915167364302	zero	NA
1132	I	yfaP	1	1.1226442441506113	up	1.1226442441506113
1132	I	yfaP	10	1.6436666338142805	zero	NA
1328	I	yggR	1	1.0229111609736283	zero	NA
1328	I	yggR	10	1.5287548717663084	up	1.5287548717663084
950	I	tdcG	1	1.1297228385925744	up	1.1297228385925744
950	I	tdcG	10	1.6673328331523927	up	1.6673328331523927
446	I	yjfZ	1	0.6208099534953864	zero	NA
446	I	yjfZ	10	0.9209118574712136	up	0.9209118574712136
1430	I	purN	1	1.199502423185494	up	1.199502423185494
1430	I	purN	10	1.8268649317894023	zero	NA
1020	I	yghF	1	0.9645896424256565	up	0.9645896424256565
1020	I	yghF	10	1.485211483033456	zero	NA
