cluster	ontology	category	subcategory	ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count	ONTOLOGY
2	KEGG	Metabolism	Global and overview maps	eco01110	Biosynthesis of secondary metabolites - Escherichia coli K-12 MG1655	42/133	355/1769	0.118309859	1.573610082	3.445732417	7.29E-04	0.059757441	0.050628897	ushA/glgC/adiA/glcB/alaA/treA/rfbD/gcvT/aroE/pgi/pck/garK/glgA/cysK/argH/rfbB/menA/fadB/proA/fadA/hisH/entF/ilvC/cysN/ubiU/aspC/ubiC/ghrB/sdhA/umpG/mmuM/lysC/entE/tyrB/rfbC/menF/speC/rpiB/frdB/ahr/cpsB/pykA	42	NA
2	KEGG	Metabolism	Carbohydrate metabolism	eco00630	Glyoxylate and dicarboxylate metabolism - Escherichia coli K-12 MG1655	9/133	43/1769	0.209302326	2.7838783	3.375626254	0.00364919	0.115184696	0.097589088	scpA/glcB/gcvT/fdoG/oxc/garK/ghrB/fdoI/fucO	9	NA
2	KEGG	Metabolism	Amino acid metabolism	eco00280	"Valine, leucine and isoleucine degradation - Escherichia coli K-12 MG1655"	4/133	11/1769	0.363636364	4.836637047	3.638420789	0.006649587	0.115184696	0.097589088	scpA/fadB/fadA/gabT	4	NA
2	KEGG	Metabolism	Metabolism of terpenoids and polyketides	eco00523	Polyketide sugar unit biosynthesis - Escherichia coli K-12 MG1655	3/133	6/1769	0.5	6.65037594	3.951865127	0.007023457	0.115184696	0.097589088	rfbD/rfbB/rfbC	3	NA
2	KEGG	Metabolism	Metabolism of terpenoids and polyketides	eco00907	"Pinene, camphor and geraniol degradation - Escherichia coli K-12 MG1655"	3/133	6/1769	0.5	6.65037594	3.951865127	0.007023457	0.115184696	0.097589088	fadB/fadA/ahr	3	NA
2	KEGG	NA	NA	eco01320	Sulfur cycle - Escherichia coli K-12 MG1655	3/133	7/1769	0.428571429	5.700322234	3.551804077	0.01161961	0.158801337	0.134542853	cysK/cysJ/cysN	3	NA
2	KEGG	Metabolism	Metabolism of terpenoids and polyketides	eco01053	Biosynthesis of siderophore group nonribosomal peptides - Escherichia coli K-12 MG1655	3/133	8/1769	0.375	4.987781955	3.222344883	0.01757948	0.181451764	0.153733201	entF/entE/menF	3	NA
2	KEGG	Metabolism	Amino acid metabolism	eco00270	Cysteine and methionine metabolism - Escherichia coli K-12 MG1655	7/133	37/1769	0.189189189	2.516358464	2.657076749	0.017702611	0.181451764	0.153733201	luxS/cysK/aspC/mmuM/lysC/tyrB/gshA	7	NA
2	KEGG	Metabolism	Global and overview maps	eco01120	Microbial metabolism in diverse environments - Escherichia coli K-12 MG1655	30/133	282/1769	0.106382979	1.414973604	2.166530682	0.023782542	0.185911511	0.157511678	scpA/allC/glcB/fdoG/pgi/pck/garK/cysK/gdhA/mhpA/fadB/fadA/dmsC/ysgA/cysJ/hybO/cysN/gabT/kdgK/dgoD/ghrB/sdhA/fdoI/lysC/fucO/rpiB/frdB/hcaE/ahr/pykA	30	NA
2	KEGG	Metabolism	Glycan biosynthesis and metabolism	eco00541	Biosynthesis of various nucleotide sugars - Escherichia coli K-12 MG1655	6/133	31/1769	0.193548387	2.574339073	2.52074861	0.024817535	0.185911511	0.157511678	rfbD/rfbB/rfbC/nanA/cpsB/kdsC	6	NA
