locusId	sysName	type	scaffoldId	begin	end	strand	old_name	desc	GC	nTA	name
14161	b0016	1	7023	15445	16557	+	insL-1	IS186/IS421 transposase (NCBI)	0.5193	33	insL1
1936200	b4412	1	7023	16751	16903	-	hokC	toxic membrane protein, small (NCBI)	0.5294	3	hokC
14166	b0021	1	7023	19811	20314	-	insB-1	IS1 transposase InsAB' (NCBI)	0.5456	16	insB1
14167	b0022	1	7023	20233	20508	-	insA-1	IS1 repressor protein InsA (NCBI)	0.529	9	insA1
14168	b0023	1	7023	20815	21078	-	rpsT	30S ribosomal protein S20 (NCBI)	0.4659	10	rpsT
14169	b0024	1	7023	21181	21399	+	yaaY	hypothetical protein (NCBI)	0.4886	8	yaaY
14170	b0025	1	7023	21407	22348	+	ribF	hypothetical protein (NCBI)	0.5361	31	ribF
14171	b0026	1	7023	22391	25207	+	ileS	isoleucyl-tRNA synthetase (NCBI)	0.5577	64	ileS
14172	b0027	1	7023	25207	25701	+	lspA	signal peptidase II (NCBI)	0.5354	20	lspA
14174	b0029	1	7023	26277	27227	+	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)	0.551	25	ispH
14176	b0031	1	7023	28374	29195	+	dapB	dihydrodipicolinate reductase (NCBI)	0.5341	25	dapB
14194	b0048	1	7023	49823	50302	+	folA	dihydrofolate reductase (NCBI)	0.5271	15	folA
14195	b0049	1	7023	50380	51222	-	apaH	diadenosinetetraphosphatase (NCBI)	0.5575	26	apaH
14199	b0053	1	7023	53416	54702	-	surA	peptidyl-prolyl cis-trans isomerase (PPIase) (NCBI)	0.5385	26	surA
14200	b0054	1	7023	54755	57109	-	imp	organic solvent tolerance protein precursor (NCBI)	0.5138	106	lptD
14208	b0062	1	7023	66835	68337	-	araA	L-arabinose isomerase (NCBI)	0.5549	32	araA
14209	b0063	1	7023	68348	70048	-	araB	ribulokinase (NCBI)	0.5802	33	araB
7497338	b4662	1	7023	77388	77519	+	sgrT	Inhibitor of glucose uptake (RefSeq)	0.4697	4	sgrT
14229	b0083	1	7023	91032	91397	+	ftsL	membrane bound cell division protein at septum containing leucine zipper motif (NCBI)	0.5027	7	ftsL
14230	b0084	1	7023	91413	93179	+	ftsI	transpeptidase involved in septal peptidoglycan synthesis (penicillin-binding protein 3) (NCBI)	0.5399	73	ftsI
14231	b0085	1	7023	93166	94653	+	murE	UDP-N-acetylmuramoylalanyl-D-glutamate--2, 6-diaminopimelate ligase (NCBI)	0.5659	40	murE
14232	b0086	1	7023	94650	96008	+	murF	UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D- alanine ligase (NCBI)	0.5511	34	murF
14233	b0087	1	7023	96002	97084	+	mraY	phospho-N-acetylmuramoyl-pentapeptide-transferase (NCBI)	0.5337	42	mraY
14235	b0089	1	7023	98403	99647	+	ftsW	integral membrane protein involved in stabilizing FstZ ring during cell division (NCBI)	0.5301	48	ftsW
14236	b0090	1	7023	99644	100711	+	murG	N-acetylglucosaminyl transferase (NCBI)	0.5609	35	murG
14237	b0091	1	7023	100765	102240	+	murC	UDP-N-acetylmuramate--L-alanine ligase (NCBI)	0.5474	37	murC
14239	b0093	1	7023	103155	103985	+	ftsQ	membrane anchored protein involved in growth of wall at septum (NCBI)	0.5331	25	ftsQ
14240	b0094	1	7023	103982	105244	+	ftsA	cell division protein (NCBI)	0.521	41	ftsA
14241	b0095	1	7023	105305	106456	+	ftsZ	cell division protein FtsZ (NCBI)	0.5417	33	ftsZ
14242	b0096	1	7023	106557	107474	+	lpxC	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase (NCBI)	0.5109	30	lpxC
14244	b0098	1	7023	108279	110984	+	secA	translocase (NCBI)	0.524	81	secA
14249	b0103	1	7023	112599	113219	-	coaE	dephospho-CoA kinase (NCBI)	0.5266	17	coaE
14260	b0114	1	7023	123017	125680	+	aceE	pyruvate dehydrogenase subunit E1 (NCBI)	0.5304	86	aceE
14261	b0115	1	7023	125695	127587	+	aceF	dihydrolipoamide acetyltransferase (NCBI)	0.5468	37	aceF
14262	b0116	1	7023	127912	129336	+	lpd	dihydrolipoamide dehydrogenase (NCBI)	0.5305	39	lpd
14264	b0118	1	7023	131615	134212	+	acnB	aconitate hydratase (NCBI)	0.5589	61	acnB
14272	b0126	1	7023	142008	142670	-	can	carbonic anhydrase (NCBI)	0.5068	21	can
14288	b0142	1	7023	157253	157732	-	folK	2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase (NCBI)	0.5	14	folK
14300	b0154	1	7023	173602	174882	-	hemL	glutamate-1-semialdehyde aminotransferase (NCBI)	0.555	40	hemL
14302	b0156	1	7023	176610	176954	+	yadR	hypothetical protein (NCBI)	0.5072	10	erpA
14305	b0159	1	7023	178455	179153	-	pfs	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase (NCBI)	0.5236	19	mtn
14312	b0166	1	7023	185123	185947	-	dapD	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase (NCBI)	0.5309	23	dapD
14314	b0168	1	7023	188712	189506	-	map	methionine aminopeptidase (NCBI)	0.5044	30	map
14316	b0170	1	7023	190857	191708	+	tsf	elongation factor Ts (NCBI)	0.4988	20	tsf
14317	b0171	1	7023	191855	192580	+	pyrH	uridylate kinase (NCBI)	0.5275	20	pyrH
14318	b0172	1	7023	192872	193429	+	frr	ribosome releasing factor (NCBI)	0.509	13	frr
14319	b0173	1	7023	193521	194717	+	dxr	1-deoxy-D-xylulose 5-phosphate reductoisomerase (NCBI)	0.5263	36	dxr
14320	b0174	1	7023	194903	195664	+	ispU	undecaprenyl pyrophosphate synthase (NCBI)	0.5	34	ispU
14321	b0175	1	7023	195677	196534	+	cdsA	CDP-diglyceride synthetase (VIMSS)	0.5082	36	cdsA
14322	b0176	1	7023	196546	197898	+	yaeL	zinc metallopeptidase (NCBI)	0.5092	51	rseP
14323	b0177	1	7023	197928	200360	+	yaeT	hypothetical protein (NCBI)	0.5068	105	bamA
14325	b0179	1	7023	200971	201996	+	lpxD	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase (NCBI)	0.5283	36	lpxD
14326	b0180	1	7023	202101	202556	+	fabZ	(3R)-hydroxymyristoyl ACP dehydratase (NCBI)	0.5044	11	fabZ
14327	b0181	1	7023	202560	203348	+	lpxA	UDP-N-acetylglucosamine acyltransferase (NCBI)	0.5311	26	lpxA
14328	b0182	1	7023	203348	204496	+	lpxB	lipid-A-disaccharide synthase (NCBI)	0.5379	29	lpxB
14330	b0184	1	7023	205126	208608	+	dnaE	DNA polymerase III subunit alpha (NCBI)	0.5495	109	dnaE
14331	b0185	1	7023	208621	209580	+	accA	acetyl-CoA carboxylase subunit alpha (NCBI)	0.5229	29	accA
14334	b0188	1	7023	212331	213629	+	tilS	tRNA(Ile)-lysidine synthetase (NCBI)	0.5804	28	tilS
14340	b0194	1	7023	217057	218775	-	proS	prolyl-tRNA synthetase (NCBI)	0.5451	46	proS
14346	b0200	1	7023	222833	223408	+	gmhB	hypothetical protein (NCBI)	0.5017	25	gmhB
1936227	b0201	3	7023	223771	225312	+	rrsH	16S ribosomal RNA (NCBI)	0.5435	54	rrsH
1936228	b0202	5	7023	225381	225457	+	ileV	tRNA-Ile (NCBI)	0.5714	2	ileV
1936229	b0203	5	7023	225500	225575	+	alaV	tRNA-Ala (NCBI)	0.6316	1	alaV
