locusId	sysName	type	scaffoldId	strand	old_name	desc	GC	nTA	name	begin	end
14146	b0001	1	7023	+	thrL	thr operon leader peptide (NCBI)	0.5152	4	thrL	190	255
14147	b0002	1	7023	+	thrA	bifunctional aspartokinase I/homeserine dehydrogenase I (NCBI)	0.5307	67	thrA	337	2799
14148	b0003	1	7023	+	thrB	homoserine kinase (NCBI)	0.5627	22	thrB	2801	3733
14149	b0004	1	7023	+	thrC	threonine synthase (NCBI)	0.5284	28	thrC	3734	5020
14150	b0005	1	7023	+	yaaX	hypothetical protein (NCBI)	0.5387	11	yaaX	5234	5530
14151	b0006	1	7023	-	yaaA	hypothetical protein (NCBI)	0.4968	20	yaaA	5683	6459
14152	b0007	1	7023	-	yaaJ	predicted transporter (NCBI)	0.5332	48	yaaJ	6529	7959
14153	b0008	1	7023	+	talB	transaldolase B (NCBI)	0.5199	30	talB	8238	9191
14154	b0009	1	7023	+	mog	molybdenum cofactor biosynthesis protein (NCBI)	0.5442	16	mog	9306	9893
14155	b0010	1	7023	-	yaaH	conserved inner membrane protein associated with acetate transport (NCBI)	0.5309	16	satP	9928	10494
14156	b0011	1	7023	-	yaaW	hypothetical protein (NCBI)	0.5084	19	yaaW	10643	11356
14158	b0013	1	7023	-	yaaI	hypothetical protein (NCBI)	0.4889	13	yaaI	11382	11786
14159	b0014	1	7023	+	dnaK	molecular chaperone DnaK (NCBI)	0.5112	57	dnaK	12163	14079
14160	b0015	1	7023	+	dnaJ	chaperone Hsp40, co-chaperone with DnaK (NCBI)	0.5517	25	dnaJ	14168	15298
14161	b0016	1	7023	+	insL-1	IS186/IS421 transposase (NCBI)	0.5193	33	insL1	15445	16557
14163	b0018	1	7023	-	mokC	regulatory protein for HokC, overlaps CDS of hokC (NCBI)	0.5143	6	mokC	16751	16960
1936200	b4412	1	7023	-	hokC	toxic membrane protein, small (NCBI)	0.5294	3	hokC	16751	16903
1936201	b4413	6	7023	+	sokC	regulatory antisense RNA (NCBI)	0.4727	4	sokC	16952	17010
14164	b0019	1	7023	+	nhaA	pH-dependent sodium/proton antiporter (NCBI)	0.5141	40	nhaA	17489	18655
14165	b0020	1	7023	+	nhaR	DNA-binding transcriptional activator (NCBI)	0.4746	32	nhaR	18715	19620
14166	b0021	1	7023	-	insB-1	IS1 transposase InsAB' (NCBI)	0.5456	16	insB1	19811	20314
14167	b0022	1	7023	-	insA-1	IS1 repressor protein InsA (NCBI)	0.529	9	insA1	20233	20508
14168	b0023	1	7023	-	rpsT	30S ribosomal protein S20 (NCBI)	0.4659	10	rpsT	20815	21078
14169	b0024	1	7023	+	yaaY	hypothetical protein (NCBI)	0.4886	8	yaaY	21181	21399
14170	b0025	1	7023	+	ribF	hypothetical protein (NCBI)	0.5361	31	ribF	21407	22348
14171	b0026	1	7023	+	ileS	isoleucyl-tRNA synthetase (NCBI)	0.5577	64	ileS	22391	25207
14172	b0027	1	7023	+	lspA	signal peptidase II (NCBI)	0.5354	20	lspA	25207	25701
14173	b0028	1	7023	+	fkpB	FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase) (NCBI)	0.5444	9	fkpB	25826	26275
14174	b0029	1	7023	+	ispH	4-hydroxy-3-methylbut-2-enyl diphosphate reductase (NCBI)	0.551	25	ispH	26277	27227
14175	b0030	1	7023	+	rihC	ribonucleoside hydrolase 3 (NCBI)	0.5628	27	rihC	27293	28207
14176	b0031	1	7023	+	dapB	dihydrodipicolinate reductase (NCBI)	0.5341	25	dapB	28374	29195
14177	b0032	1	7023	+	carA	carbamoyl-phosphate synthase small subunit (NCBI)	0.5335	32	carA	29651	30799
14178	b0033	1	7023	+	carB	carbamoyl-phosphate synthase large subunit (NCBI)	0.5627	78	carB	30817	34038
14180	b0034	1	7023	+	caiF	transcriptional regulator of cai operon (VIMSS)	0.4596	19	caiF	34300	34695
14181	b0035	1	7023	-	caiE	possible synthesis of cofactor for carnitine racemase and dehydratase (VIMSS)	0.54990000000000006	16	caiE	34781	35371
14182	b0036	1	7023	-	caiD	crotonobetainyl CoA hydratase (RefSeq)	0.5407	21	caiD	35377	36162
14183	b0037	1	7023	-	caiC	predicted crotonobetaine CoA ligase:carnitine CoA ligase (RefSeq)	0.5103	47	caiC	36271	37824
14184	b0038	1	7023	-	caiB	crotonobetainyl-CoA:carnitineCoA-transferase (NCBI)	0.5263	44	caiB	37898	39115
14185	b0039	1	7023	-	caiA	crotonobetaine reductase subunit II, FAD-binding (NCBI)	0.5389	36	caiA	39244	40386
14186	b0040	1	7023	-	caiT	L-carnitine/gamma-butyrobetaine antiporter (NCBI)	0.5182	52	caiT	40417	41931
14187	b0041	1	7023	+	fixA	probable flavoprotein subunit, carnitine metabolism (VIMSS)	0.5253	18	fixA	42403	43173
14188	b0042	1	7023	+	fixB	predicted electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like (NCBI)	0.5669	21	fixB	43188	44129
14189	b0043	1	7023	+	fixC	predicted oxidoreductase with FAD/NAD(P)-binding domain (NCBI)	0.5493	33	fixC	44180	45466
14190	b0044	1	7023	+	fixX	predicted 4Fe-4S ferredoxin-type protein (NCBI)	0.5694	5	fixX	45463	45750
14191	b0045	1	7023	+	yaaU	predicted transporter (NCBI)	0.533	40	yaaU	45807	47138
14192	b0046	1	7023	+	kefF	glutathione-regulated potassium-efflux system ancillary protein (NCBI)	0.5461	10	kefF	47246	47776
14193	b0047	1	7023	+	kefC	glutathione-regulated potassium-efflux system protein (NCBI)	0.555	37	kefC	47769	49631
14194	b0048	1	7023	+	folA	dihydrofolate reductase (NCBI)	0.5271	15	folA	49823	50302
